simulation_id,round,timestamp,centralized_loss,centralized_mta,centralized_asr,num_clients
,0,2025-10-09T03:39:30.396310,2.434832155324851,0.0987,0.0,
,1,2025-10-09T03:41:22.911052,3.2055308742887654,0.0997,0.9921875,
,2,2025-10-09T03:46:44.596332,2.3096936181852015,0.2248,0.482421875,
,3,2025-10-09T03:50:59.615091,1.80283723970887,0.3375,0.3740234375,
,4,2025-10-09T04:05:25.924852,1.4907094680579605,0.4523,0.646484375,
,5,2025-10-09T04:06:11.400735,1.1781500866458674,0.5689,0.5068359375,
,6,2025-10-09T04:07:39.066232,1.2603332742004638,0.5415,0.6689453125,
,7,2025-10-09T04:09:06.226560,1.182619768343154,0.5748,0.7578125,
,8,2025-10-09T04:10:33.603683,1.13482032497977,0.59,0.8125,
,9,2025-10-09T04:12:31.522011,1.0687486354712468,0.6168,0.8525390625,
,10,2025-10-09T04:16:21.410922,1.052345822191542,0.6305,0.9169921875,
,11,2025-10-09T04:20:25.240018,1.0628758080446037,0.6351,0.9482421875,
,12,2025-10-09T04:24:30.999993,1.0379467481260847,0.6388,0.953125,
,13,2025-10-09T04:28:34.598094,1.0095842473066536,0.6559,0.97265625,
,14,2025-10-09T04:31:02.167095,0.998390908833522,0.6627,0.9970703125,
,15,2025-10-09T04:31:40.292050,0.9386145301685211,0.6783,0.9951171875,
,16,2025-10-09T04:33:32.041128,1.0362494075374238,0.6569,0.966796875,
,17,2025-10-09T04:35:40.997904,1.0063049690738606,0.6671,0.99609375,
,18,2025-10-09T04:37:37.850392,0.9895544674745791,0.6769,0.98828125,
,19,2025-10-09T04:38:16.422181,0.9407231230644664,0.6848,0.99609375,
,20,2025-10-09T04:40:11.914837,0.9925664211534391,0.6788,0.98828125,
,21,2025-10-09T04:40:51.817645,0.9580710932707331,0.6849,0.99609375,
,22,2025-10-09T04:41:32.009267,0.9623227115649327,0.6875,0.9931640625,
,23,2025-10-09T04:43:31.303681,1.0761474169743288,0.6712,0.931640625,
,24,2025-10-09T04:45:21.419464,1.0513370769798376,0.6794,0.984375,
,25,2025-10-09T04:47:27.857787,1.0721037281546624,0.675,0.9912109375,
,0,2025-10-09T13:23:06.410766,2.397335348615221,0.0977,0.3681640625,
,1,2025-10-09T13:23:56.606701,2.567558648479972,0.1074,0.7587890625,
,2,2025-10-09T13:24:55.484853,1.9351277867699885,0.2647,0.1884765625,
