simulation_id,round,timestamp,centralized_loss,centralized_mta,centralized_asr,num_clients
,14,2025-10-25T15:32:18.209206,0.8218684515376,0.7134,0.060546875,
,15,2025-10-25T15:33:01.946763,0.8424248068955293,0.7113,0.076171875,
,0,2025-10-25T15:54:36.463293,3.4351656679894513,0.0991,0.0,
,1,2025-10-25T15:55:33.758326,2.5070325827142996,0.1,0.0,
,2,2025-10-25T15:56:17.292944,2.099689129051889,0.2543,0.01953125,
,3,2025-10-25T15:57:01.321417,1.5205426702074185,0.4332,0.0107421875,
,4,2025-10-25T15:57:44.440885,1.2306879819578427,0.5598,0.0654296875,
,5,2025-10-25T15:58:28.425377,1.1204799759160182,0.5962,0.037109375,
,6,2025-10-25T15:59:12.327157,1.0438252026867714,0.6222,0.048828125,
,7,2025-10-25T15:59:55.984878,0.9504483501622631,0.6606,0.0458984375,
,8,2025-10-25T16:00:38.875797,0.8967110860119959,0.6847,0.0498046875,
,9,2025-10-25T16:01:22.062205,0.8617683307380434,0.6953,0.0546875,
,10,2025-10-25T16:02:06.371911,0.8582216467067694,0.7067,0.0400390625,
,11,2025-10-25T16:02:50.043100,0.8196475817139741,0.7131,0.0654296875,
,12,2025-10-25T16:03:33.768061,0.7809427403340674,0.7299,0.078125,
,13,2025-10-25T16:04:17.666363,0.7974101840310795,0.7247,0.0576171875,
,14,2025-10-25T16:05:01.240675,0.7834316408558256,0.7273,0.0634765625,
,15,2025-10-25T16:05:45.555615,0.78221066571345,0.7329,0.05859375,
,16,2025-10-25T16:06:29.329707,0.8018822235286616,0.7278,0.0556640625,
,17,2025-10-25T16:07:12.826132,0.7609562103156071,0.7353,0.060546875,
,18,2025-10-25T16:07:56.143588,0.744851607425957,0.742,0.0712890625,
,19,2025-10-25T16:08:39.771741,0.7533268393224971,0.74,0.0673828125,
,20,2025-10-25T16:09:22.730647,0.7366917243429051,0.7461,0.0556640625,
,21,2025-10-25T16:10:07.170735,0.766166940995842,0.7381,0.0615234375,
,22,2025-10-25T16:10:50.832177,0.7911118312626128,0.7295,0.072265625,
,23,2025-10-25T16:11:34.863468,0.8201198600659705,0.7257,0.0810546875,
,24,2025-10-25T16:12:18.878282,0.7302500043705011,0.7521,0.0751953125,
,0,2025-10-25T16:50:07.272408,4.005757611268645,0.1,0.0,
,1,2025-10-25T16:51:00.331823,2.6455822704703946,0.1,0.0,
,2,2025-10-25T16:51:36.585246,2.3181490465334265,0.1774,0.0029296875,
